"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1958, 01,   21200, 1958.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1958, 02,   21231, 1958.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1958, 03,   21259, 1958.2027,   315.70,   314.43,     316.19,   314.90,     315.70,   314.43
1958, 04,   21290, 1958.2877,   317.45,   315.16,     317.30,   314.98,     317.45,   315.16
1958, 05,   21320, 1958.3699,   317.51,   314.71,     317.86,   315.06,     317.51,   314.71
1958, 06,   21351, 1958.4548,   -99.99,   -99.99,     317.24,   315.14,     317.24,   315.14
1958, 07,   21381, 1958.5370,   315.86,   315.19,     315.86,   315.22,     315.86,   315.19
1958, 08,   21412, 1958.6219,   314.93,   316.19,     313.99,   315.29,     314.93,   316.19
1958, 09,   21443, 1958.7068,   313.21,   316.08,     312.46,   315.35,     313.21,   316.08
1958, 10,   21473, 1958.7890,   -99.99,   -99.99,     312.43,   315.41,     312.43,   315.41
1958, 11,   21504, 1958.8740,   313.33,   315.20,     313.61,   315.46,     313.33,   315.20
1958, 12,   21534, 1958.9562,   314.67,   315.43,     314.76,   315.51,     314.67,   315.43
1959, 01,   21565, 1959.0411,   315.58,   315.54,     315.62,   315.57,     315.58,   315.54
1959, 02,   21596, 1959.1260,   316.49,   315.86,     316.27,   315.63,     316.49,   315.86
1959, 03,   21624, 1959.2027,   316.65,   315.37,     316.98,   315.69,     316.65,   315.37
1959, 04,   21655, 1959.2877,   317.72,   315.41,     318.09,   315.77,     317.72,   315.41
1959, 05,   21685, 1959.3699,   318.29,   315.48,     318.66,   315.85,     318.29,   315.48
1959, 06,   21716, 1959.4548,   318.15,   316.03,     318.04,   315.94,     318.15,   316.03
1959, 07,   21746, 1959.5370,   316.54,   315.87,     316.67,   316.03,     316.54,   315.87
1959, 08,   21777, 1959.6219,   314.80,   316.07,     314.82,   316.12,     314.80,   316.07
1959, 09,   21808, 1959.7068,   313.84,   316.73,     313.31,   316.22,     313.84,   316.73
1959, 10,   21838, 1959.7890,   313.33,   316.33,     313.32,   316.31,     313.33,   316.33
1959, 11,   21869, 1959.8740,   314.81,   316.69,     314.54,   316.39,     314.81,   316.69
1959, 12,   21899, 1959.9562,   315.58,   316.35,     315.72,   316.47,     315.58,   316.35
1960, 01,   21930, 1960.0410,   316.43,   316.39,     316.61,   316.56,     316.43,   316.39
1960, 02,   21961, 1960.1257,   316.98,   316.35,     317.28,   316.64,     316.98,   316.35
1960, 03,   21990, 1960.2049,   317.58,   316.27,     318.03,   316.71,     317.58,   316.27
1960, 04,   22021, 1960.2896,   319.03,   316.69,     319.15,   316.79,     319.03,   316.69
1960, 05,   22051, 1960.3716,   320.04,   317.21,     319.68,   316.86,     320.04,   317.21
1960, 06,   22082, 1960.4563,   319.58,   317.47,     319.02,   316.93,     319.58,   317.47
1960, 07,   22112, 1960.5383,   318.18,   317.53,     317.59,   316.98,     318.18,   317.53
1960, 08,   22143, 1960.6230,   315.90,   317.20,     315.68,   317.01,     315.90,   317.20
1960, 09,   22174, 1960.7077,   314.17,   317.08,     314.12,   317.04,     314.17,   317.08
